date,Town,Count,Tests
2020-04-22,Abington,78,NA
2020-04-22,Acton,50,NA
2020-04-22,Acushnet,18,NA
2020-04-22,Adams,29,NA
2020-04-22,Agawam,244,NA
2020-04-22,Alford,0,NA
2020-04-22,Amesbury,32,NA
2020-04-22,Amherst,16,NA
2020-04-22,Andover,85,NA
2020-04-22,Aquinnah,0,NA
2020-04-22,Arlington,180,NA
2020-04-22,Ashburnham,12,NA
2020-04-22,Ashby,7,NA
2020-04-22,Ashfield,3,NA
2020-04-22,Ashland,84,NA
2020-04-22,Athol,34,NA
2020-04-22,Attleboro,281,NA
2020-04-22,Auburn,45,NA
2020-04-22,Avon,39,NA
2020-04-22,Ayer,33,NA
2020-04-22,Barnstable,133,NA
2020-04-22,Barre,24,NA
2020-04-22,Becket,10,NA
2020-04-22,Bedford,117,NA
2020-04-22,Belchertown,40,NA
2020-04-22,Bellingham,44,NA
2020-04-22,Belmont,141,NA
2020-04-22,Berkley,21,NA
2020-04-22,Berlin,10,NA
2020-04-22,Bernardston,3,NA
2020-04-22,Beverly,241,NA
2020-04-22,Billerica,261,NA
2020-04-22,Blackstone,20,NA
2020-04-22,Blandford,0,NA
2020-04-22,Bolton,5,NA
2020-04-22,Boston,6744,NA
2020-04-22,Bourne,99,NA
2020-04-22,Boxborough,9,NA
2020-04-22,Boxford,25,NA
2020-04-22,Boylston,9,NA
2020-04-22,Braintree,418,NA
2020-04-22,Brewster,64,NA
2020-04-22,Bridgewater,141,NA
2020-04-22,Brimfield,3,NA
2020-04-22,Brockton,1763,NA
2020-04-22,Brookfield,5,NA
2020-04-22,Brookline,216,NA
2020-04-22,Buckland,6,NA
2020-04-22,Burlington,131,NA
2020-04-22,Cambridge,672,NA
2020-04-22,Canton,157,NA
2020-04-22,Carlisle,7,NA
2020-04-22,Carver,19,NA
2020-04-22,Charlemont,0,NA
2020-04-22,Charlton,26,NA
2020-04-22,Chatham,8,NA
2020-04-22,Chelmsford,174,NA
2020-04-22,Chelsea,1447,NA
2020-04-22,Cheshire,3,NA
2020-04-22,Chester,3,NA
2020-04-22,Chesterfield,3,NA
2020-04-22,Chicopee,176,NA
2020-04-22,Chilmark,0,NA
2020-04-22,Clarksburg,7,NA
2020-04-22,Clinton,54,NA
2020-04-22,Cohasset,15,NA
2020-04-22,Colrain,3,NA
2020-04-22,Concord,63,NA
2020-04-22,Conway,3,NA
2020-04-22,Cummington,3,NA
2020-04-22,Dalton,6,NA
2020-04-22,Danvers,316,NA
2020-04-22,Dartmouth,66,NA
2020-04-22,Dedham,174,NA
2020-04-22,Deerfield,3,NA
2020-04-22,Dennis,42,NA
2020-04-22,Dighton,20,NA
2020-04-22,Douglas,18,NA
2020-04-22,Dover,14,NA
2020-04-22,Dracut,229,NA
2020-04-22,Dudley,27,NA
2020-04-22,Dunstable,7,NA
2020-04-22,Duxbury,33,NA
2020-04-22,East Bridgewater,102,NA
2020-04-22,East Brookfield,3,NA
2020-04-22,East Longmeadow,116,NA
2020-04-22,Eastham,7,NA
2020-04-22,Easthampton,37,NA
2020-04-22,Easton,162,NA
2020-04-22,Edgartown,0,NA
2020-04-22,Egremont,3,NA
2020-04-22,Erving,3,NA
2020-04-22,Essex,12,NA
2020-04-22,Everett,716,NA
2020-04-22,Fairhaven,45,NA
2020-04-22,Fall River,191,NA
2020-04-22,Falmouth,110,NA
2020-04-22,Fitchburg,148,NA
2020-04-22,Florida,3,NA
2020-04-22,Foxborough,54,NA
2020-04-22,Framingham,438,NA
2020-04-22,Franklin,55,NA
2020-04-22,Freetown,25,NA
2020-04-22,Gardner,74,NA
2020-04-22,Georgetown,24,NA
2020-04-22,Gill,3,NA
2020-04-22,Gloucester,111,NA
2020-04-22,Goshen,0,NA
2020-04-22,Gosnold,0,NA
2020-04-22,Grafton,41,NA
2020-04-22,Granby,13,NA
2020-04-22,Granville,7,NA
2020-04-22,Great Barrington,37,NA
2020-04-22,Greenfield,122,NA
2020-04-22,Groton,15,NA
2020-04-22,Groveland,8,NA
2020-04-22,Hadley,17,NA
2020-04-22,Halifax,22,NA
2020-04-22,Hamilton,14,NA
2020-04-22,Hampden,14,NA
2020-04-22,Hancock,3,NA
2020-04-22,Hanover,38,NA
2020-04-22,Hanson,44,NA
2020-04-22,Hardwick,3,NA
2020-04-22,Harvard,13,NA
2020-04-22,Harwich,30,NA
2020-04-22,Hatfield,6,NA
2020-04-22,Haverhill,385,NA
2020-04-22,Hawley,0,NA
2020-04-22,Heath,0,NA
2020-04-22,Hingham,108,NA
